tabela,linhas_origem,inseridos,ignorados,erros,chave_usada,colunas_usadas
alembic_version,1,0,1,0,unique:version_num,version_num
calibre_produto,29,0,7,22,unique:id,"atualizado_em,criado_em,descricao,id,nome"
categoria_produto,9,0,5,4,unique:id,"atualizado_em,criado_em,descricao,id,nome,pai_id"
clientes,886,0,1,885,unique:id,"apelido,atirador_n1,atirador_n2,atirador_n3,bombeiro,cac,cnh,cr,cr_emissor,created_at,data_nascimento,data_validade_cr,documento,escolaridade,estado_civil,filiado,iat,id,inscricao_estadual,inscricao_municipal,matricula,militar,nacionalidade,naturalidade,nome,nome_mae,nome_pai,policial,profissao,psicologo,razao_social,rg,rg_emissor,sexo,sigma,sinarm,updated_at"
configuracoes,3,0,3,0,unique:id,"chave,id,valor"
funcionamento_produto,3,1,2,0,unique:id,"atualizado_em,criado_em,descricao,id,nome"
marca_produto,13,0,6,7,unique:id,"atualizado_em,criado_em,descricao,id,nome"
taxas,13,1,12,0,unique:id,"id,juros,numero_parcelas"
tipo_produto,9,0,0,9,unique:id,"atualizado_em,criado_em,descricao,id,nome"
users,1,0,0,0,unique:id,"id,password_hash,username"
notificacao,4,0,0,4,unique:id,"cliente_id,data_envio,erro,id,meio,mensagem,nivel,status,tipo"
documentos,2,1,0,0,unique:id,"caminho_arquivo,categoria,cliente_id,created_at,data_emissao,data_upload,data_validade,emissor,id,mime_type,nome_original,numero_documento,observacoes,tipo,updated_at,validade_indeterminada"
pedido_compra,1,1,0,0,unique:id,"cond_pagto,data_pedido,fornecedor_id,id,modo_desconto,numero,percentual_armas,percentual_municoes,percentual_unico"
armas,0,0,0,0,unique:id,"calibre,caminho_craf,categoria_adquirente,cliente_id,created_at,data_aquisicao,data_validade_craf,emissor_craf,funcionamento,id,marca,modelo,numero_serie,numero_sigma,tipo,updated_at,validade_indeterminada"
vendas,1,1,0,0,unique:id,"cliente_id,created_at,data_abertura,data_fechamento,data_quitacao,id,nf_numero,nf_valor,status,status_financeiro,teve_devolucao,updated_at,valor_total,vendedor"
clientes_contatos,1774,0,1,1773,unique:id,"cliente_id,created_at,id,tipo,updated_at,valor"
processos,1,0,0,0,unique:id,"cliente_id,data,descricao,id,status,tipo"
comunicacoes,2,0,0,2,unique:id,"assunto,cliente_id,data,id,mensagem,tipo"
clientes_enderecos,513,0,0,513,unique:id,"bairro,cep,cidade,cliente_id,complemento,created_at,estado,id,logradouro,numero,tipo,updated_at"
produtos,215,0,14,201,business:codigo,"atualizado_em,calibre,calibre_id,categoria_id,codigo,criado_em,custo_total,desconto_fornecedor,descricao,difal,frete,funcionamento_id,id,imposto_venda,ipi,ipi_tipo,lucro_alvo,lucro_liquido_real,marca,marca_id,margem,nome,preco_a_vista,preco_final,preco_fornecedor,tipo,tipo_id"
item_pedido,3,1,2,0,unique:id,"codigo,descricao,id,pedido_id,quantidade,valor_unitario"
itens_venda,0,0,0,0,unique:id,"categoria,id,produto_nome,quantidade,valor_total,valor_unitario,venda_id"
produto_historico,5,0,5,0,unique:id,"campo,data_modificacao,id,produto_id,usuario_id,usuario_nome,valor_antigo,valor_novo"
