tabela,linhas_origem,inseridos,ignorados,erros,chave_usada
tipo_produto,12,12,0,0,pk:id
marca_produto,25,25,0,0,pk:id
calibre_produto,34,34,0,0,pk:id
categoria_produto,41,41,0,0,pk:id
funcionamento_produto,2,2,0,0,pk:id
clientes,901,901,0,0,business:documento
clientes_enderecos,1200,1200,0,0,pk:id
clientes_contatos,2247,2247,0,0,pk:id
produtos,342,342,0,0,business:codigo
documentos,7,7,0,0,pk:id
vendas,592,592,0,0,pk:id
itens_venda,722,722,0,0,pk:id
pedido_compra,6,6,0,0,pk:id
item_pedido,31,31,0,0,pk:id
notificacao,3,3,0,0,pk:id
comunicacoes,1,1,0,0,pk:id
alembic_version,1,0,1,0,pk:version_num
armas,5,5,0,0,pk:id
carrinho_items,1,0,0,0,pk:id
carrinhos,2,1,0,0,pk:id
certidoes,24,0,0,24,pk:id
compra_item,7,0,0,7,pk:id
compra_nf,2,2,0,0,pk:id
configuracoes,27,27,0,0,pk:id
estoque_itens,4,0,0,4,pk:id
importacoes_log,0,0,0,0,pk:id
loja_banners,3,3,0,0,pk:id
loja_paginas,4,4,0,0,pk:id
modelos_documento,4,4,0,0,pk:id
pedido_items,0,0,0,0,pk:id
pedidos,0,0,0,0,pk:id
processos,1,1,0,0,pk:id
produto_historico,37809,0,0,37809,pk:id
taxas,14,14,0,0,pk:id
users,2,2,0,0,pk:id
vendas_anexos,0,0,0,0,pk:id
