id,nf_id,descricao,marca,modelo,calibre,lote,quantidade,valor_unitario,valor_total,seriais_xml,codigo_produto_xml,produto_id,numero_embalagem
80,42,MUNICAO 9MM LUGER ETOG 124GR CBC - REF 10025869,,,,,300.00,4.64,1392.69,,CBC00002,23,Caixa 0
81,42,MUNICAO .38 SPL CHOG 158GR CBC REF 10026419,,,,,150.00,6.15,922.28,,CBC00009,24,Caixa 0
82,42,CARTUCHO 28/70 CH-T CBC REF 10032542,,,,,250.00,2.92,730.85,,CBC00330,22,Caixa 0
83,42,CARTUCHO 20/70 CH-3T CBC REF 10032539,,,,,150.00,3.79,568.64,,CBC00329,27,Caixa 0
84,42,CARTUCHO .22 LR CHPO 33GR HUNTER HYPER CBC REF 10025843,,,,,300.00,0.78,234.24,,CBC00018,28,Caixa 0
85,42,CARTUCHO .22 WMR ETOG 40GR TARGET CBC REF 10029525,,,,,200.00,1.61,321.72,,CBC00158,318,Caixa 0
55,35,"PISTOLA TAURUS, G2C T.O.R.O, CAL .38 TPC, 2X12, 83 MM (3,26 POL), CARBONO FOSCO - BLACK REF 10034336",,,,,1.00,3220.00,3220.00,AGB009651,,,
