id,venda_id,produto_nome,categoria,quantidade,valor_unitario,valor_total,sku,produto_id,item_estoque_id,arma_cliente_id
1382,1138,MUN CBC .38TPC ETOG 124GR BLIS C,Munição,20,6.90,138.00,,,,
1383,1139,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
1384,1140,CART CBC .22LR CHOG 40GR TARGET C,Munição,100,1.49,149.00,,,,
1385,1141,MUN CBC 9MM LUGER ETOG 124GR,Munição,10,7.65,76.50,,,,
1386,1142,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,150,5.85,877.50,,,,
1387,1142,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,10,15.53,155.30,,,,
1388,1143,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,50,1.71,85.50,,,,
1389,1144,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,0.49,24.50,,,,
1390,1145,MUN CBC 38SPL CHOG 158GR - ORÇ,Produtos Simples,1000,9.49,9490.00,,,,
1391,1146,CART CBC 12/70 SUPER VELOX CH-3T,Munição,25,8.15,203.75,,,,
1392,1147,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
1393,1148,MUN CBC .38SPL ETPP 158GR TREINA,Munição,100,6.11,611.00,,,,
1394,1149,CART CBC .22LR CHOG 40GR TARGET C,Munição,50,1.49,74.50,,,,
1395,1149,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,50,4.69,234.50,,,,
1396,1149,CART CBC 22WMR ETOG 40GR TARGET C,Munição,100,4.69,469.00,,,,
1397,1149,CART CBC .22LR CHPO 40GR HUNTER SUBS CX 50,Munição,50,1.71,85.50,,,,
1398,1150,CART CBC 22WMR EXPO 40GR HUNTER C,Munição,100,4.69,469.00,,,,
1399,1150,CART CBC 22WMR ETOG 40GR TARGET C,Munição,50,4.69,234.50,,,,
1400,1151,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
1401,1152,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
1402,1153,CARREGADOR 11T CAL. MECGAR GX4,Produtos Simples,1,100.00,100.00,,,,
1403,1154,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,100,2.75,275.00,,,,
1404,1154,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,200,2.85,570.00,,,,
1405,1155,MUN CBC 9MM LUGER ETOG 124GR TREINA C,Munição,50,5.75,287.50,,,,
1406,1156,MUN CCI 17HMR POLY TIP 17GR,Munição,100,8.30,830.00,,,,
1407,1157,CARREGADOR 11T CAL. MECGAR GX4,Produtos Controlados,1,292.00,292.00,,,,
1408,1158,MUN CBC .380 AUTO+P EXPO 85GR G. HEX BLST C,Munição,20,15.53,310.60,,,,
1409,1159,MUN CBC .380 AUTO ETOG 95GR TREINA C,Munição,50,5.85,292.50,,,,
1410,1160,MUN CBC 38SPL EXPO 158GR BLST C,Munição,50,11.75,587.50,,,,
